pypsa_id,voltage,bus0,bus1,length_km,reasons_unmatched
merged_way/151967297-2-220+3,220,way/151967291-220,way/42097854-220,19.613919999999997,Unknown (may be duplicate path or parallel circuit)
relation/3742237-220,220,way/943135226-220,way/1081302145-220,17.83949,Unknown (may be duplicate path or parallel circuit)
relation/4713421-220,220,way/943135226-220,way/1081302145-220,17.83949,Unknown (may be duplicate path or parallel circuit)
merged_way/143848416-220+1,220,way/152973139-220,DE176-220,16.32245,Unknown (may be duplicate path or parallel circuit)
way/812676716-220-a,220,way/1086825107-220,DE151-220,15.74285,Unknown (may be duplicate path or parallel circuit)
way/222638710-220-b,220,DE151-220,way/1086825107-220,15.66522,Unknown (may be duplicate path or parallel circuit)
way/34942575-220,220,DE27-220,DE24-220,15.045200000000001,Unknown (may be duplicate path or parallel circuit)
merged_way/189574879-220+2,220,way/25786404-220,way/41334805-220,14.84218,Unknown (may be duplicate path or parallel circuit)
merged_way/153089338-220+2,220,way/152973139-220,way/160929097-220,13.887030000000001,Unknown (may be duplicate path or parallel circuit)
merged_way/108388734-1-220+1,220,way/41389594-220,DE202-220,13.38096,Unknown (may be duplicate path or parallel circuit)
relation/1636726-220,220,way/152924508-220,way/149987048-220,13.19934,Unknown (may be duplicate path or parallel circuit)
relation/15751730-220,220,way/152924498-220,relation/17591073-220,12.29941,Unknown (may be duplicate path or parallel circuit)
relation/3989160-220,220,way/152924498-220,relation/17591073-220,12.29941,Unknown (may be duplicate path or parallel circuit)
relation/943999-220,220,way/27124619-220,DE4-220,11.808290000000001,Unknown (may be duplicate path or parallel circuit)
merged_way/37826246-1-220+5,220,way/24267175-220,way/27919734-220,11.43553,Unknown (may be duplicate path or parallel circuit)
merged_way/59584539-2-220+1,220,way/24839976-220,DE129-220,11.18969,Unknown (may be duplicate path or parallel circuit)
way/760912582-1-220,220,DE42-220,DE38-220,9.983709999999999,No nearby JAO lines
merged_way/106337111-1-220+1,220,DE166-220,DE171-220,9.36994,No nearby JAO lines
way/812686808-220,220,way/152219167-220,DE151-220,8.62275,No nearby JAO lines
way/34897791-2-220,220,DE138-220,way/22766160-220,8.5431,Unknown (may be duplicate path or parallel circuit)
relation/1123975-220,220,DE92-220,way/24921206-220,8.50813,Unknown (may be duplicate path or parallel circuit)
relation/1123976-220,220,DE92-220,way/24921206-220,8.43619,Unknown (may be duplicate path or parallel circuit)
merged_way/29380943-220+3,220,way/113546939-220,way/63114179-220,8.0639,Unknown (may be duplicate path or parallel circuit)
relation/17189385-220,220,way/27919734-220,way/49577401-220,7.79683,Unknown (may be duplicate path or parallel circuit)
way/41374780-2-220,220,DE125-220,way/27919734-220,7.7447,Unknown (may be duplicate path or parallel circuit)
way/971780154-1-220-a,220,way/33169401-220,DE29-220,7.68596,Unknown (may be duplicate path or parallel circuit)
way/712379294-220,220,DE108-220,way/172997498-220,7.43819,Unknown (may be duplicate path or parallel circuit)
merged_way/121199247-2-220+3,220,DE69-220,DE68-220,7.37952,Unknown (may be duplicate path or parallel circuit)
way/1131127616-2-220,220,DE30-220,DE32-220,6.800800000000001,Unknown (may be duplicate path or parallel circuit)
relation/3937928-220,220,way/25943440-220,DE63-220,6.49209,Unknown (may be duplicate path or parallel circuit)
way/143901743-1-220,220,way/159326655-220,DE179-220,6.395449999999999,No nearby JAO lines
relation/3866868-220,220,way/499165542-220,DE163-220,6.34809,Unknown (may be duplicate path or parallel circuit)
way/349635742-220,220,DE176-220,DE180-220,6.058590000000001,Unknown (may be duplicate path or parallel circuit)
merged_way/105572022-2-220+6,220,DE87-220,DE80-220,5.99754,Unknown (may be duplicate path or parallel circuit)
merged_way/155496642-1-220+1,220,way/35818137-220,way/24478889-220,5.89553,Unknown (may be duplicate path or parallel circuit)
